"","Product.Type","Price","PriceIndexPercentageChange","ProductSold","Date","ParticipatingBidders","ProductGroup12MSalesSplit","SupplyOffered","TwelveMonthQtySold","AveragePublishedPrice.1","ChangeInPriceIndex","EventDuration","MinSupply","QualifiedBidders","QuantitySold","TotalRounds","TwelveMonthQtySold.1","WinningBidders","Duration"
"1","AMF","6289","-4.9","TRUE",2017-08-01,"162","10.3","TRUE","67203","3343","-1.6","2:06","29840","521","32768","14","655337","129","126"
"2","Butter","5747","-4.9","TRUE",2017-08-01,"162","6.8","TRUE","44513","3343","-1.6","2:06","29840","521","32768","14","655337","129","126"
"3","BMP","2198","0.4","TRUE",2017-08-01,"162","1.4","TRUE","9479","3343","-1.6","2:06","29840","521","32768","14","655337","129","126"
"4","Ched","3932","-4.8","TRUE",2017-08-01,"162","3.6","TRUE","23854","3343","-1.6","2:06","29840","521","32768","14","655337","129","126"
"5","LAC","787","-4.3","TRUE",2017-08-01,"162","1.8","TRUE","11515","3343","-1.6","2:06","29840","521","32768","14","655337","129","126"
"6","MPC70",NA,NA,"FALSE",2017-08-01,"162",NA,"FALSE",NA,"3343","-1.6","2:06","29840","521","32768","14","655337","129","126"
"7","RenCas","6122","-4.4","TRUE",2017-08-01,"162","1.6","TRUE","10737","3343","-1.6","2:06","29840","521","32768","14","655337","129","126"
"8","SMP","1966","-3","TRUE",2017-08-01,"162","23.5","TRUE","153797","3343","-1.6","2:06","29840","521","32768","14","655337","129","126"
"9","SWP",NA,NA,"FALSE",2017-08-01,"162",NA,"FALSE",NA,"3343","-1.6","2:06","29840","521","32768","14","655337","129","126"
"10","WMP","3155","1.3","TRUE",2017-08-01,"162","51","TRUE","334239","3343","-1.6","2:06","29840","521","32768","14","655337","129","126"
"11","AMF","3606","-7.4",NA,2014-07-01,"184","8.8","TRUE","86062","3595","-4.9","2:09","41074","702","41513","12","972539","149","129"
"12","Butter","3181","-13.6",NA,2014-07-01,"184","6.5","TRUE","63013","3595","-4.9","2:09","41074","702","41513","12","972539","149","129"
"13","BMP","4135","4",NA,2014-07-01,"184","0.8","TRUE","8221","3595","-4.9","2:09","41074","702","41513","12","972539","149","129"
"14","Ched","4226","-2.9",NA,2014-07-01,"184","2.8","TRUE","27448","3595","-4.9","2:09","41074","702","41513","12","972539","149","129"
"15","LAC",NA,NA,NA,2014-07-01,"184",NA,"TRUE",NA,"3595","-4.9","2:09","41074","702","41513","12","972539","149","129"
"16","MPC70",NA,NA,NA,2014-07-01,"184",NA,"FALSE",NA,"3595","-4.9","2:09","41074","702","41513","12","972539","149","129"
"17","RenCas","10789","-2.1",NA,2014-07-01,"184","0.9","TRUE","8306","3595","-4.9","2:09","41074","702","41513","12","972539","149","129"
"18","SMP","3810","-0.9",NA,2014-07-01,"184","22.2","TRUE","216008","3595","-4.9","2:09","41074","702","41513","12","972539","149","129"
"19","WMP","3459","-5.4",NA,2014-07-01,"184","57.4","TRUE","558306","3595","-4.9","2:09","41074","702","41513","12","972539","149","129"
"20","AMF","6249","0","TRUE",2018-03-20,"170","7.8","TRUE","53092","3632","-1.2","1:55","16575","513","18635","14","676725","125","115"
"21","Butter","5281","0","TRUE",2018-03-20,"170","6.4","TRUE","43171","3632","-1.2","1:55","16575","513","18635","14","676725","125","115"
"22","BMP",NA,NA,"FALSE",2018-03-20,"170",NA,"FALSE",NA,"3632","-1.2","1:55","16575","513","18635","14","676725","125","115"
"23","Ched","3609","-3.9","TRUE",2018-03-20,"170","3.8","TRUE","25963","3632","-1.2","1:55","16575","513","18635","14","676725","125","115"
"24","LAC","590",NA,"TRUE",2018-03-20,"170","1.3","TRUE","9043","3632","-1.2","1:55","16575","513","18635","14","676725","125","115"
"25","MPC70",NA,NA,"FALSE",2018-03-20,"170",NA,"FALSE",NA,"3632","-1.2","1:55","16575","513","18635","14","676725","125","115"
"26","RenCas","4948","-2.9","TRUE",2018-03-20,"170","1.8","TRUE","11915","3632","-1.2","1:55","16575","513","18635","14","676725","125","115"
"27","SMP","1887","-8.6","TRUE",2018-03-20,"170","23.7","TRUE","160231","3632","-1.2","1:55","16575","513","18635","14","676725","125","115"
"28","SWP",NA,NA,"FALSE",2018-03-20,"170",NA,"FALSE",NA,"3632","-1.2","1:55","16575","513","18635","14","676725","125","115"
"29","WMP","3226","0.1","TRUE",2018-03-20,"170","53.9","TRUE","364846","3632","-1.2","1:55","16575","513","18635","14","676725","125","115"
"30","AMF","3644","-2.7","TRUE",2016-01-05,"166","10","TRUE","77866","2458","-1.6","1:54","24470","616","25671","12","778795","127","114"
"31","Butter","3314","6.7","TRUE",2016-01-05,"166","6.9","TRUE","53727","2458","-1.6","1:54","24470","616","25671","12","778795","127","114"
"32","BMP","1586","1","TRUE",2016-01-05,"166","1.1","TRUE","8673","2458","-1.6","1:54","24470","616","25671","12","778795","127","114"
"33","Ched","2964","3.5","TRUE",2016-01-05,"166","4.6","TRUE","36008","2458","-1.6","1:54","24470","616","25671","12","778795","127","114"
"34","LAC","594","11.4","TRUE",2016-01-05,"166","0.4","TRUE","3440","2458","-1.6","1:54","24470","616","25671","12","778795","127","114"
"35","MPC70",NA,NA,"FALSE",2016-01-05,"166",NA,"FALSE",NA,"2458","-1.6","1:54","24470","616","25671","12","778795","127","114"
"36","RenCas","4736","3.9","TRUE",2016-01-05,"166","1.3","TRUE","10368","2458","-1.6","1:54","24470","616","25671","12","778795","127","114"
"37","SMP","1890","-0.8","TRUE",2016-01-05,"166","21.4","TRUE","166621","2458","-1.6","1:54","24470","616","25671","12","778795","127","114"
"38","SWP",NA,NA,"FALSE",2016-01-05,"166",NA,"FALSE",NA,"2458","-1.6","1:54","24470","616","25671","12","778795","127","114"
"39","WMP","2210","-4.4","TRUE",2016-01-05,"166","54","TRUE","420207","2458","-1.6","1:54","24470","616","25671","12","778795","127","114"
"40","AMF","4954","-1","TRUE",2016-10-04,"166","11.5","TRUE","77658","2880","-3","1:51","30775","617","33937","13","672519","125","111"
"41","Butter","3891","-0.3","TRUE",2016-10-04,"166","8","TRUE","53711","2880","-3","1:51","30775","617","33937","13","672519","125","111"
"42","BMP","2408","9.3","TRUE",2016-10-04,"166","1.3","TRUE","8625","2880","-3","1:51","30775","617","33937","13","672519","125","111"
"43","Ched","3430","-2.3","TRUE",2016-10-04,"166","3.8","TRUE","25654","2880","-3","1:51","30775","617","33937","13","672519","125","111"
"44","LAC","744","-9.7","TRUE",2016-10-04,"166","1.3","TRUE","8445","2880","-3","1:51","30775","617","33937","13","672519","125","111"
"45","MPC70",NA,NA,"FALSE",2016-10-04,"166",NA,"FALSE",NA,"2880","-3","1:51","30775","617","33937","13","672519","125","111"
"46","RenCas","6574","-3.7","TRUE",2016-10-04,"166","1.7","TRUE","11576","2880","-3","1:51","30775","617","33937","13","672519","125","111"
"47","SMP","2209","-3.9","TRUE",2016-10-04,"166","23.8","TRUE","159891","2880","-3","1:51","30775","617","33937","13","672519","125","111"
"48","SWP",NA,NA,"FALSE",2016-10-04,"166",NA,"FALSE",NA,"2880","-3","1:51","30775","617","33937","13","672519","125","111"
"49","WMP","2681","-3.8","TRUE",2016-10-04,"166","48.6","TRUE","326959","2880","-3","1:51","30775","617","33937","13","672519","125","111"
"50","AMF","6569","-1.2","TRUE",2017-06-06,"183","11","TRUE","69173","3395","0.6","2:25","19705","563","22004","16","628931","125","145"
"51","Butter","5631","3.3","TRUE",2017-06-06,"183","7.1","TRUE","44785","3395","0.6","2:25","19705","563","22004","16","628931","125","145"
"52","BMP","2092","5.8","TRUE",2017-06-06,"183","1.4","TRUE","9014","3395","0.6","2:25","19705","563","22004","16","628931","125","145"
"53","Ched","4285","14.5","TRUE",2017-06-06,"183","3.8","TRUE","23763","3395","0.6","2:25","19705","563","22004","16","628931","125","145"
"54","LAC","971","1","TRUE",2017-06-06,"183","1.8","TRUE","11204","3395","0.6","2:25","19705","563","22004","16","628931","125","145"
"55","MPC70",NA,NA,"FALSE",2017-06-06,"183",NA,"FALSE",NA,"3395","0.6","2:25","19705","563","22004","16","628931","125","145"
"56","RenCas","6849","4.8","TRUE",2017-06-06,"183","1.6","TRUE","10080","3395","0.6","2:25","19705","563","22004","16","628931","125","145"
"57","SMP","2156","7.9","TRUE",2017-06-06,"183","22.9","TRUE","143996","3395","0.6","2:25","19705","563","22004","16","628931","125","145"
"58","SWP",NA,NA,"FALSE",2017-06-06,"183",NA,"FALSE",NA,"3395","0.6","2:25","19705","563","22004","16","628931","125","145"
"59","WMP","3143","-2.9","TRUE",2017-06-06,"183","50.4","TRUE","316916","3395","0.6","2:25","19705","563","22004","16","628931","125","145"
"60","AMF","3486","-6.6","TRUE",2016-02-02,"144","10.2","TRUE","81213","2276","-7.4","1:40","23535","619","24474","11","796495","124","100"
"61","Butter","2905","-8.3","TRUE",2016-02-02,"144","7.1","TRUE","56445","2276","-7.4","1:40","23535","619","24474","11","796495","124","100"
"62","BMP","1513","-6.7","TRUE",2016-02-02,"144","1.1","TRUE","8940","2276","-7.4","1:40","23535","619","24474","11","796495","124","100"
"63","Ched","2807","-4.2","TRUE",2016-02-02,"144","4.6","TRUE","36808","2276","-7.4","1:40","23535","619","24474","11","796495","124","100"
"64","LAC","577","-2.6","TRUE",2016-02-02,"144","0.5","TRUE","4040","2276","-7.4","1:40","23535","619","24474","11","796495","124","100"
"65","MPC70",NA,NA,"FALSE",2016-02-02,"144",NA,"FALSE",NA,"2276","-7.4","1:40","23535","619","24474","11","796495","124","100"
"66","RenCas","4362","-3.7","TRUE",2016-02-02,"144","1.4","TRUE","10850","2276","-7.4","1:40","23535","619","24474","11","796495","124","100"
"67","SMP","1792","-2.2","TRUE",2016-02-02,"144","21.7","TRUE","172708","2276","-7.4","1:40","23535","619","24474","11","796495","124","100"
"68","SWP",NA,NA,"FALSE",2016-02-02,"144",NA,"FALSE",NA,"2276","-7.4","1:40","23535","619","24474","11","796495","124","100"
"69","WMP","1952","-10.4","TRUE",2016-02-02,"144","53.2","TRUE","423911","2276","-7.4","1:40","23535","619","24474","11","796495","124","100"
"70","AMF","2855","1.6","TRUE",2015-07-01,"158","8.4","TRUE","79377","2276","-5.9","1:46","31570","652","33200","11","944910","140","106"
"71","Butter","2694","-0.3","TRUE",2015-07-01,"158","6","TRUE","57031","2276","-5.9","1:46","31570","652","33200","11","944910","140","106"
"72","BMP","1878","-8.1","TRUE",2015-07-01,"158","0.9","TRUE","8732","2276","-5.9","1:46","31570","652","33200","11","944910","140","106"
"73","Ched","3060","-4.9","TRUE",2015-07-01,"158","4.2","TRUE","39386","2276","-5.9","1:46","31570","652","33200","11","944910","140","106"
"74","LAC",NA,NA,"TRUE",2015-07-01,"158","0","TRUE","150","2276","-5.9","1:46","31570","652","33200","11","944910","140","106"
"75","MPC70",NA,NA,"FALSE",2015-07-01,"158",NA,"FALSE",NA,"2276","-5.9","1:46","31570","652","33200","11","944910","140","106"
"76","RenCas","5901","-4.1","TRUE",2015-07-01,"158","1","TRUE","9858","2276","-5.9","1:46","31570","652","33200","11","944910","140","106"
"77","SMP","1875","-5.8","TRUE",2015-07-01,"158","22.3","TRUE","210332","2276","-5.9","1:46","31570","652","33200","11","944910","140","106"
"78","SWP",NA,NA,"FALSE",2015-07-01,"158",NA,"FALSE",NA,"2276","-5.9","1:46","31570","652","33200","11","944910","140","106"
"79","WMP","2054","-10.8","TRUE",2015-07-01,"158","56.9","TRUE","537437","2276","-5.9","1:46","31570","652","33200","11","944910","140","106"
"80","AMF","3117","-5",NA,2014-10-01,"167","8.7","TRUE","94189","2599","-7.3","2:20","54112","657","55057","13","1079717","145","140"
"81","Butter","2514","-6.6",NA,2014-10-01,"167","6.5","TRUE","69677","2599","-7.3","2:20","54112","657","55057","13","1079717","145","140"
"82","BMP","2723","-11.3",NA,2014-10-01,"167","0.8","TRUE","8251","2599","-7.3","2:20","54112","657","55057","13","1079717","145","140"
"83","Ched","3028","-1.2",NA,2014-10-01,"167","2.8","TRUE","30491","2599","-7.3","2:20","54112","657","55057","13","1079717","145","140"
"84","LAC",NA,NA,NA,2014-10-01,"167",NA,"FALSE",NA,"2599","-7.3","2:20","54112","657","55057","13","1079717","145","140"
"85","MPC70",NA,NA,NA,2014-10-01,"167",NA,"FALSE",NA,"2599","-7.3","2:20","54112","657","55057","13","1079717","145","140"
"86","RenCas","8224","-1.4",NA,2014-10-01,"167","0.8","TRUE","8288","2599","-7.3","2:20","54112","657","55057","13","1079717","145","140"
"87","SMP","2540","-2.7",NA,2014-10-01,"167","23","TRUE","247879","2599","-7.3","2:20","54112","657","55057","13","1079717","145","140"
"88","SWP","1175","-9.3",NA,2014-10-01,"167",NA,"TRUE",NA,"2599","-7.3","2:20","54112","657","55057","13","1079717","145","140"
"89","WMP","2443","-10",NA,2014-10-01,"167","57","TRUE","615592","2599","-7.3","2:20","54112","657","55057","13","1079717","145","140"
"90","AMF","3029","11.7","TRUE",2015-09-01,"166","8.8","TRUE","79654","2226","10.9","2:37","34395","635","35865","16","904068","116","157"
"91","Butter","2746","8.1","TRUE",2015-09-01,"166","5.9","TRUE","52978","2226","10.9","2:37","34395","635","35865","16","904068","116","157"
"92","BMP","1829","30","TRUE",2015-09-01,"166","1","TRUE","9262","2226","10.9","2:37","34395","635","35865","16","904068","116","157"
"93","Ched","2913","4.7","TRUE",2015-09-01,"166","4.3","TRUE","38476","2226","10.9","2:37","34395","635","35865","16","904068","116","157"
"94","LAC","483","-4","TRUE",2015-09-01,"166","0.1","TRUE","1185","2226","10.9","2:37","34395","635","35865","16","904068","116","157"
"95","MPC70",NA,NA,"FALSE",2015-09-01,"166",NA,"FALSE",NA,"2226","10.9","2:37","34395","635","35865","16","904068","116","157"
"96","RenCas","5779","6.3","TRUE",2015-09-01,"166","1.2","TRUE","10580","2226","10.9","2:37","34395","635","35865","16","904068","116","157"
"97","SMP","1698","11.7","TRUE",2015-09-01,"166","21.4","TRUE","193175","2226","10.9","2:37","34395","635","35865","16","904068","116","157"
"98","SWP",NA,NA,"FALSE",2015-09-01,"166",NA,"FALSE",NA,"2226","10.9","2:37","34395","635","35865","16","904068","116","157"
"99","WMP","2078","12.1","TRUE",2015-09-01,"166","57.1","TRUE","516497","2226","10.9","2:37","34395","635","35865","16","904068","116","157"
"100","AMF","4237","-2.2","TRUE",2015-03-03,"160","8.4","TRUE","89198","3374","1.1","2:16","20955","703","22094","14","1065359","107","136"
"101","Butter","3912","2.5","TRUE",2015-03-03,"160","6.1","TRUE","65129","3374","1.1","2:16","20955","703","22094","14","1065359","107","136"
"102","BMP","2681","6.8","TRUE",2015-03-03,"160","0.8","TRUE","8337","3374","1.1","2:16","20955","703","22094","14","1065359","107","136"
"103","Ched","3377","10.8","TRUE",2015-03-03,"160","3.4","TRUE","36106","3374","1.1","2:16","20955","703","22094","14","1065359","107","136"
"104","LAC",NA,NA,"FALSE",2015-03-03,"160",NA,"FALSE",NA,"3374","1.1","2:16","20955","703","22094","14","1065359","107","136"
"105","MPC70",NA,NA,"FALSE",2015-03-03,"160",NA,"FALSE",NA,"3374","1.1","2:16","20955","703","22094","14","1065359","107","136"
"106","RenCas","8694","-0.7","TRUE",2015-03-03,"160","0.9","TRUE","9093","3374","1.1","2:16","20955","703","22094","14","1065359","107","136"
"107","SMP","2935","5.9","TRUE",2015-03-03,"160","22.5","TRUE","239716","3374","1.1","2:16","20955","703","22094","14","1065359","107","136"
"108","SWP",NA,NA,"TRUE",2015-03-03,"160","0.1","TRUE","1261","3374","1.1","2:16","20955","703","22094","14","1065359","107","136"
"109","WMP","3241","-1","TRUE",2015-03-03,"160","57.6","TRUE","613979","3374","1.1","2:16","20955","703","22094","14","1065359","107","136"
"110","AMF","6631","8.2","TRUE",2017-05-16,"164","11.4","TRUE","71993","3313","3.2","2:33","19130","553","21236","19","630025","103","153"
"111","Butter","5479","11.2","TRUE",2017-05-16,"164","7.2","TRUE","45392","3313","3.2","2:33","19130","553","21236","19","630025","103","153"
"112","BMP","1980","7","TRUE",2017-05-16,"164","1.4","TRUE","8733","3313","3.2","2:33","19130","553","21236","19","630025","103","153"
"113","Ched","3726","0.6","TRUE",2017-05-16,"164","3.8","TRUE","24077","3313","3.2","2:33","19130","553","21236","19","630025","103","153"
"114","LAC","967","2","TRUE",2017-05-16,"164","1.8","TRUE","11108","3313","3.2","2:33","19130","553","21236","19","630025","103","153"
"115","MPC70",NA,NA,"FALSE",2017-05-16,"164",NA,"FALSE",NA,"3313","3.2","2:33","19130","553","21236","19","630025","103","153"
"116","RenCas","6259","-3.7","TRUE",2017-05-16,"164","1.7","TRUE","10435","3313","3.2","2:33","19130","553","21236","19","630025","103","153"
"117","SMP","1998","1","TRUE",2017-05-16,"164","23.1","TRUE","145776","3313","3.2","2:33","19130","553","21236","19","630025","103","153"
"118","SWP",NA,NA,"FALSE",2017-05-16,"164",NA,"FALSE",NA,"3313","3.2","2:33","19130","553","21236","19","630025","103","153"
"119","WMP","3312","1.3","TRUE",2017-05-16,"164","49.6","TRUE","312511","3313","3.2","2:33","19130","553","21236","19","630025","103","153"
"120","AMF","6764","5.3","TRUE",2017-09-19,"174","9.5","TRUE","60485","3368","0.9","2:20","31540","539","34117","17","633885","134","140"
"121","Butter","6026","1.2","TRUE",2017-09-19,"174","6.3","TRUE","40038","3368","0.9","2:20","31540","539","34117","17","633885","134","140"
"122","BMP",NA,NA,"FALSE",2017-09-19,"174",NA,"FALSE",NA,"3368","0.9","2:20","31540","539","34117","17","633885","134","140"
"123","Ched","4032","-1.9","TRUE",2017-09-19,"174","3.8","TRUE","24361","3368","0.9","2:20","31540","539","34117","17","633885","134","140"
"124","LAC","759","-3.8","TRUE",2017-09-19,"174","1.7","TRUE","10722","3368","0.9","2:20","31540","539","34117","17","633885","134","140"
"125","MPC70",NA,NA,"FALSE",2017-09-19,"174",NA,"FALSE",NA,"3368","0.9","2:20","31540","539","34117","17","633885","134","140"
"126","RenCas","6036","-2.4","TRUE",2017-09-19,"174","1.8","TRUE","11176","3368","0.9","2:20","31540","539","34117","17","633885","134","140"
"127","SMP","1920","-1.2","TRUE",2017-09-19,"174","23","TRUE","146095","3368","0.9","2:20","31540","539","34117","17","633885","134","140"
"128","SWP",NA,NA,"FALSE",2017-09-19,"174",NA,"FALSE",NA,"3368","0.9","2:20","31540","539","34117","17","633885","134","140"
"129","WMP","3122","0.6","TRUE",2017-09-19,"174","52.4","TRUE","332311","3368","0.9","2:20","31540","539","34117","17","633885","134","140"
"130","AMF","5709","1.2","TRUE",2018-08-07,"191","9","TRUE","57765","3136","0","1:59","31405","529","34076","13","640289","126","119"
"131","Butter","4802","-3.2","TRUE",2018-08-07,"191","6.8","TRUE","43539","3136","0","1:59","31405","529","34076","13","640289","126","119"
"132","BMP","2441","-5.9","TRUE",2018-08-07,"191","1.3","TRUE","8015","3136","0","1:59","31405","529","34076","13","640289","126","119"
"133","Ched","3663","1.3","TRUE",2018-08-07,"191","4","TRUE","25493","3136","0","1:59","31405","529","34076","13","640289","126","119"
"134","LAC",NA,NA,"TRUE",2018-08-07,"191","1.1","TRUE","7167","3136","0","1:59","31405","529","34076","13","640289","126","119"
"135","MPC70",NA,NA,"FALSE",2018-08-07,"191",NA,"FALSE",NA,"3136","0","1:59","31405","529","34076","13","640289","126","119"
"136","RenCas","4971","8","TRUE",2018-08-07,"191","1.6","TRUE","10279","3136","0","1:59","31405","529","34076","13","640289","126","119"
"137","SMP","1972","-0.3","TRUE",2018-08-07,"191","23.9","TRUE","153144","3136","0","1:59","31405","529","34076","13","640289","126","119"
"138","SWP",NA,NA,"FALSE",2018-08-07,"191",NA,"TRUE",NA,"3136","0","1:59","31405","529","34076","13","640289","126","119"
"139","WMP","2958","0.1","TRUE",2018-08-07,"191","52.3","TRUE","334887","3136","0","1:59","31405","529","34076","13","640289","126","119"
"140","AMF","4255","1.9",NA,2014-05-20,"193","9.1","TRUE","84271","3873","-1.8","2:30","32611","734","33677","14","924175","139","150"
"141","Butter","3667","-3.8",NA,2014-05-20,"193","6.5","TRUE","60211","3873","-1.8","2:30","32611","734","33677","14","924175","139","150"
"142","BMP","3950","-1.9",NA,2014-05-20,"193","0.9","TRUE","8493","3873","-1.8","2:30","32611","734","33677","14","924175","139","150"
"143","Ched","4108","-2.1",NA,2014-05-20,"193","3","TRUE","28018","3873","-1.8","2:30","32611","734","33677","14","924175","139","150"
"144","LAC",NA,NA,NA,2014-05-20,"193",NA,"FALSE",NA,"3873","-1.8","2:30","32611","734","33677","14","924175","139","150"
"145","MPC70",NA,NA,NA,2014-05-20,"193",NA,"FALSE",NA,"3873","-1.8","2:30","32611","734","33677","14","924175","139","150"
"146","RenCas","11861","4.6",NA,2014-05-20,"193","1","TRUE","9116","3873","-1.8","2:30","32611","734","33677","14","924175","139","150"
"147","SMP","3733","-3.5",NA,2014-05-20,"193","21.7","TRUE","200259","3873","-1.8","2:30","32611","734","33677","14","924175","139","150"
"148","WMP","3877","-1.1",NA,2014-05-20,"193","57.2","TRUE","528456","3873","-1.8","2:30","32611","734","33677","14","924175","139","150"
"149","AMF","5321","-6.9","TRUE",2018-08-21,"158","9.2","TRUE","58325","3044","-3.6","1:57","29840","534","32041","13","637214","126","117"
"150","Butter","4392","-8.5","TRUE",2018-08-21,"158","6.8","TRUE","43485","3044","-3.6","1:57","29840","534","32041","13","637214","126","117"
"151","BMP",NA,NA,"FALSE",2018-08-21,"158",NA,"FALSE",NA,"3044","-3.6","1:57","29840","534","32041","13","637214","126","117"
"152","Ched","3484","-4.7","TRUE",2018-08-21,"158","4","TRUE","25411","3044","-3.6","1:57","29840","534","32041","13","637214","126","117"
"153","LAC","914",NA,"TRUE",2018-08-21,"158","1.1","TRUE","6979","3044","-3.6","1:57","29840","534","32041","13","637214","126","117"
"154","MPC70",NA,NA,"FALSE",2018-08-21,"158",NA,"FALSE",NA,"3044","-3.6","1:57","29840","534","32041","13","637214","126","117"
"155","RenCas","5138","2.8","TRUE",2018-08-21,"158","1.6","TRUE","10279","3044","-3.6","1:57","29840","534","32041","13","637214","126","117"
"156","SMP","1951","-1.3","TRUE",2018-08-21,"158","23.4","TRUE","149323","3044","-3.6","1:57","29840","534","32041","13","637214","126","117"
"157","SWP",NA,NA,"FALSE",2018-08-21,"158",NA,"TRUE",NA,"3044","-3.6","1:57","29840","534","32041","13","637214","126","117"
"158","WMP","2883","-2.1","TRUE",2018-08-21,"158","52.6","TRUE","335421","3044","-3.6","1:57","29840","534","32041","13","637214","126","117"
"159","AMF","3619","4.4","TRUE",2016-06-15,"168","11.3","TRUE","81308","2339","0","1:57","21181","601","23089","13","718146","114","117"
"160","Butter","2910","5.3","TRUE",2016-06-15,"168","7.6","TRUE","54510","2339","0","1:57","21181","601","23089","13","718146","114","117"
"161","BMP","1695","-6.6","TRUE",2016-06-15,"168","1.2","TRUE","8674","2339","0","1:57","21181","601","23089","13","718146","114","117"
"162","Ched","2882","6.9","TRUE",2016-06-15,"168","4","TRUE","28603","2339","0","1:57","21181","601","23089","13","718146","114","117"
"163","LAC","754","0.6","TRUE",2016-06-15,"168","0.9","TRUE","6690","2339","0","1:57","21181","601","23089","13","718146","114","117"
"164","MPC70",NA,NA,"FALSE",2016-06-15,"168",NA,"FALSE",NA,"2339","0","1:57","21181","601","23089","13","718146","114","117"
"165","RenCas","5116","-0.4","TRUE",2016-06-15,"168","1.8","TRUE","12675","2339","0","1:57","21181","601","23089","13","718146","114","117"
"166","SMP","1901","1.5","TRUE",2016-06-15,"168","22.9","TRUE","164783","2339","0","1:57","21181","601","23089","13","718146","114","117"
"167","SWP",NA,NA,"FALSE",2016-06-15,"168",NA,"FALSE",NA,"2339","0","1:57","21181","601","23089","13","718146","114","117"
"168","WMP","2118","-4.5","TRUE",2016-06-15,"168","50.3","TRUE","360903","2339","0","1:57","21181","601","23089","13","718146","114","117"
"169","AMF","5352","-0.6","TRUE",2017-01-03,"151","11.3","TRUE","78909","3463","-3.9","1:57","19930","523","22396","13","695295","120","117"
"170","Butter","4308","0.5","TRUE",2017-01-03,"151","7.5","TRUE","51935","3463","-3.9","1:57","19930","523","22396","13","695295","120","117"
"171","BMP","2670","4.5","TRUE",2017-01-03,"151","1.3","TRUE","9153","3463","-3.9","1:57","19930","523","22396","13","695295","120","117"
"172","Ched","3894","1.4","TRUE",2017-01-03,"151","3.8","TRUE","26722","3463","-3.9","1:57","19930","523","22396","13","695295","120","117"
"173","LAC","836","-2.9","TRUE",2017-01-03,"151","1.4","TRUE","9999","3463","-3.9","1:57","19930","523","22396","13","695295","120","117"
"174","MPC70",NA,NA,"FALSE",2017-01-03,"151",NA,"FALSE",NA,"3463","-3.9","1:57","19930","523","22396","13","695295","120","117"
"175","RenCas","6234","-2.7","TRUE",2017-01-03,"151","1.7","TRUE","12093","3463","-3.9","1:57","19930","523","22396","13","695295","120","117"
"176","SMP","2660","2.3","TRUE",2017-01-03,"151","24.1","TRUE","167703","3463","-3.9","1:57","19930","523","22396","13","695295","120","117"
"177","SWP",NA,NA,"FALSE",2017-01-03,"151",NA,"FALSE",NA,"3463","-3.9","1:57","19930","523","22396","13","695295","120","117"
"178","WMP","3294","-7.7","TRUE",2017-01-03,"151","48.7","TRUE","338781","3463","-3.9","1:57","19930","523","22396","13","695295","120","117"
"179","AMF","5937","-1.7","TRUE",2018-07-03,"152","8.7","TRUE","58289","3232","-5","1:55","24065","524","26519","13","669721","118","115"
"180","Butter","5390","-4","TRUE",2018-07-03,"152","6.8","TRUE","45514","3232","-5","1:55","24065","524","26519","13","669721","118","115"
"181","BMP","2480","6.4","TRUE",2018-07-03,"152","1.3","TRUE","8735","3232","-5","1:55","24065","524","26519","13","669721","118","115"
"182","Ched","3713","-4.3","TRUE",2018-07-03,"152","3.9","TRUE","26076","3232","-5","1:55","24065","524","26519","13","669721","118","115"
"183","LAC",NA,NA,"FALSE",2018-07-03,"152",NA,"TRUE",NA,"3232","-5","1:55","24065","524","26519","13","669721","118","115"
"184","MPC70",NA,NA,"FALSE",2018-07-03,"152",NA,"FALSE",NA,"3232","-5","1:55","24065","524","26519","13","669721","118","115"
"185","RenCas","5089","3.6","TRUE",2018-07-03,"152","1.6","TRUE","10847","3232","-5","1:55","24065","524","26519","13","669721","118","115"
"186","SMP","1913","-4.6","TRUE",2018-07-03,"152","24.9","TRUE","166563","3232","-5","1:55","24065","524","26519","13","669721","118","115"
"187","SWP",NA,NA,"FALSE",2018-07-03,"152",NA,"TRUE",NA,"3232","-5","1:55","24065","524","26519","13","669721","118","115"
"188","WMP","2905","-7.3","TRUE",2018-07-03,"152","51.6","TRUE","345890","3232","-5","1:55","24065","524","26519","13","669721","118","115"
"189","AMF","6581","0.5","TRUE",2018-02-06,"188","8.2","TRUE","51342","3553","5.9","2:18","19995","524","22197","15","628951","126","138"
"190","Butter","5277","7.9","TRUE",2018-02-06,"188","6.4","TRUE","40458","3553","5.9","2:18","19995","524","22197","15","628951","126","138"
"191","BMP","2039","8.4","TRUE",2018-02-06,"188","1.4","TRUE","8597","3553","5.9","2:18","19995","524","22197","15","628951","126","138"
"192","Ched","3739","7.2","TRUE",2018-02-06,"188","3.9","TRUE","24348","3553","5.9","2:18","19995","524","22197","15","628951","126","138"
"193","LAC",NA,NA,"TRUE",2018-02-06,"188","1.5","TRUE","9454","3553","5.9","2:18","19995","524","22197","15","628951","126","138"
"194","MPC70",NA,NA,"FALSE",2018-02-06,"188",NA,"FALSE",NA,"3553","5.9","2:18","19995","524","22197","15","628951","126","138"
"195","RenCas","4943","5","TRUE",2018-02-06,"188","1.8","TRUE","11476","3553","5.9","2:18","19995","524","22197","15","628951","126","138"
"196","SMP","1932","7.2","TRUE",2018-02-06,"188","23.5","TRUE","147619","3553","5.9","2:18","19995","524","22197","15","628951","126","138"
