"Date","AMF_Price","AMF_QtySold","BMP_Price","BMP_QtySold","BUT_Price","BUT_QtySold","SMP_Price","SMP_QtySold","WMP_Price","WMP_QtySold","Qualified.Bidders","Participating.Bidders","Winning.Bidders","Rounds","Duration","World.Price..US...and.SDRs"
2010-03-02,3958,2862,NA,NA,NA,NA,2926,7550,3280,22648,276,118,84,9,106,272.9528565
2010-04-06,4826,2701,NA,NA,NA,NA,3672,6348,3969,16890,282,140,60,13,154,296.9459772
2010-05-04,5019,3349,NA,NA,NA,NA,3611,6500,3932,22483,278,123,76,10,134,307.8200479
2010-06-01,5323,4223,NA,NA,NA,NA,3461,9900,3789,21472,275,116,79,14,169,298.4088662
2010-07-06,4620,5557,NA,NA,NA,NA,3066,12181,3223,30975,279,115,111,5,60,281.5315748
2010-08-03,4302,6730,NA,NA,NA,NA,2769,14055,2974,34322,291,127,111,7,88,269.9744775
2010-09-01,4681,3050,NA,NA,NA,NA,3197,6350,3522,18875,294,151,75,10,124,282.3599592
2010-09-15,5188,3002,NA,NA,NA,NA,3228,6340,3601,19000,300,127,73,10,120,282.3599592
2010-10-05,5256,2797,NA,NA,NA,NA,3220,7000,3521,22258,304,122,80,10,133,289.3311153
2010-10-19,5196,2753,NA,NA,NA,NA,3071,8500,3483,24041,306,116,89,10,122,289.3311153
2010-11-02,5393,2450,NA,NA,NA,NA,3020,6009,3495,21910,307,119,83,10,122,292.0727169
2010-11-16,5341,2451,NA,NA,NA,NA,3096,5953,3447,22180,307,96,69,9,116,292.0727169
2010-12-01,5333,2601,NA,NA,NA,NA,3059,6502,3556,22500,306,122,77,10,121,293.3881559
2010-12-15,5380,3250,NA,NA,NA,NA,3127,6518,3619,22516,308,130,88,9,110,293.3881559
2011-01-04,5984,2313,NA,NA,NA,NA,3491,4100,3750,19000,309,140,79,11,132,314.2097542
2011-01-18,5946,2337,NA,NA,NA,NA,3579,4100,3779,17000,310,130,88,9,109,314.2097542
2011-02-01,6486,2097,NA,NA,NA,NA,3913,3900,3994,13510,313,112,51,10,120,325.7409077
2011-02-15,6323,2750,NA,NA,NA,NA,3898,3882,4319,11000,312,121,68,9,108,325.7409077
2011-03-01,6424,2416,NA,NA,NA,NA,3976,2844,4618,7000,304,114,45,12,149,349.0388285
2011-03-15,6111,2489,NA,NA,NA,NA,3816,2850,4104,7000,306,108,75,9,107,349.0388285
2011-04-05,5985,2475,NA,NA,NA,NA,3763,2336,3877,7500,308,123,73,9,109,340.1392606
2011-04-19,5950,2425,NA,NA,NA,NA,3770,2256,3911,7445,307,117,64,10,119,340.1392606
2011-05-03,5669,3625,NA,NA,NA,NA,3908,2088,3859,7424,305,111,76,15,182,335.6333085
2011-05-17,5339,3583,NA,NA,NA,NA,3824,2099,3862,7030,333,124,73,12,177,335.6333085
2011-06-01,5669,3217,NA,NA,NA,NA,4372,1806,3780,12454,338,146,80,12,241,333.4194414
2011-06-15,5345,4211,NA,NA,NA,NA,3993,2105,3887,12570,342,136,93,14,169,333.4194414
2011-07-05,5277,4125,NA,NA,NA,NA,3704,4901,3637,15981,347,136,104,9,110,327.3221004
2011-07-19,4613,4800,NA,NA,NA,NA,3487,4990,3475,16000,348,122,97,8,96,327.3221004
2011-08-02,4297,5489,NA,NA,NA,NA,3478,7057,3474,21921,355,152,116,10,122,312.8501034
2011-08-16,4273,5461,NA,NA,NA,NA,3437,8077,3385,22000,355,145,102,14,169,312.8501034
2011-09-06,4352,5295,NA,NA,NA,NA,3443,9346,3313,26000,387,166,128,11,132,310.3927771
2011-09-20,3845,5896,NA,NA,NA,NA,3229,11973,3345,25989,417,155,133,11,143,310.3927771
2011-10-04,3702,5664,NA,NA,NA,NA,3193,9993,3308,24444,427,155,129,12,144,295.9632888
2011-10-18,3644,5667,NA,NA,NA,NA,3291,10029,3502,24326,443,149,120,12,146,295.9632888
2011-11-01,3308,5485,NA,NA,NA,NA,3292,7753,3487,24000,463,149,122,16,196,295.8361009
2011-11-15,3571,5148,NA,NA,NA,NA,3354,8025,3574,21950,482,166,123,13,158,295.8361009
2011-12-06,4012,4123,NA,NA,NA,NA,3423,7675,3637,22000,491,173,111,14,172,295.3228449
2011-12-20,4182,4178,NA,NA,NA,NA,3312,9200,3589,22012,504,156,119,10,121,295.3228449
2012-01-03,3982,4090,NA,NA,NA,NA,3268,6650,3554,19901,513,152,114,13,167,301.1460668
2012-01-17,4083,3551,NA,NA,NA,NA,3351,5727,3562,18900,533,161,111,12,145,301.1460668
2012-02-01,3942,3624,NA,NA,NA,NA,3296,4469,3533,17500,558,155,118,13,158,298.8982023
2012-02-15,3546,4048,NA,NA,NA,NA,3259,4770,3420,20539,575,144,117,11,135,298.8982023
2012-03-06,3631,2844,NA,NA,NA,NA,3194,4677,3408,13900,580,145,112,11,132,288.7973921
2012-03-20,3284,3280,NA,NA,NA,NA,3125,4970,3315,15980,592,145,123,10,122,288.7973921
2012-04-03,3583,2908,NA,NA,NA,NA,3077,5743,3227,15250,603,139,104,13,156,272.9613246
2012-04-17,3303,3508,NA,NA,NA,NA,2871,5967,2847,19937,610,134,118,8,97,272.9613246
2012-05-01,2851,4361,NA,NA,NA,NA,2729,6027,2776,19907,620,136,119,11,135,251.2579943
2012-05-15,2498,4515,NA,NA,NA,NA,2573,7675,2546,25000,635,147,136,12,145,251.2579943
2012-06-05,3095,3634,2456,537,NA,NA,3011,5298,2762,17908,649,170,106,16,203,241.5103194
2012-06-19,3091,3484,2509,475,NA,NA,2833,5363,2886,12868,667,175,118,13,156,241.5103194
2012-07-03,2744,5413,2482,545,NA,NA,2598,9960,2759,18886,681,168,132,12,146,243.1513941
2012-07-17,2845,5334,2662,543,NA,NA,2727,10471,2584,17950,692,155,114,15,181,243.1513941
2012-08-01,2803,5168,2415,640,NA,NA,2805,10946,2675,26973,702,195,142,13,158,248.8369303
2012-08-15,3172,4054,2667,629,NA,NA,3023,10782,2869,24574,703,168,103,17,205,248.8369303
2012-09-04,3529,5259,3090,626,NA,NA,3210,11036,2977,37922,717,203,143,16,194,266.8317889
2012-09-18,3198,5953,3028,650,NA,NA,3339,10545,3035,35680,718,178,146,12,147,266.8317889
2012-10-02,2982,6075,3143,574,NA,NA,3308,10900,3166,36950,723,164,139,13,157,274.885503
2012-10-16,2879,5976,3288,600,NA,NA,3325,9749,3421,31957,725,178,134,15,182,274.885503
2012-11-06,3025,5830,3510,250,NA,NA,3449,8524,3351,35500,725,184,136,13,157,278.0792485
2012-11-20,3065,6183,3615,247,NA,NA,3402,8351,3275,30415,726,186,147,11,133,278.0792485
2012-12-04,3196,5087,3615,200,NA,NA,3361,8547,3170,35401,729,178,141,12,145,278.2280443
2012-12-18,3180,5121,3600,200,NA,NA,3418,8608,3147,29903,737,195,145,11,133,278.2280443
2013-01-02,3168,4558,3640,184,NA,NA,3572,6300,3198,31006,743,164,122,13,155,279.4562441
2013-01-16,3252,4762,3405,200,NA,NA,3552,6375,3288,25860,748,202,144,12,143,279.4562441
2013-02-05,3500,4233,3530,175,NA,NA,3554,6748,3468,24420,762,212,135,13,157,284.6139469
2013-02-19,3634,4030,3317,400,3725,1793,3591,6062,3654,18422,771,216,135,12,146,284.6139469
2013-03-05,3819,2833,4200,200,4080,1862,3758,4419,4297,10475,782,200,105,16,192,330.1199482
2013-03-19,4415,2467,3904,375,4549,1824,4050,4471,5115,5447,785,185,82,17,203,330.1199482
2013-04-02,4694,2519,4595,175,4425,1695,5141,4035,5099,4938,793,171,78,18,217,414.7681466
2013-04-16,4963,2514,3982,431,4720,1665,4757,4963,5245,4891,797,158,80,13,156,414.7681466
2013-05-01,4674,2198,4500,195,4409,1455,4279,4873,4720,8100,802,135,87,10,121,395.7674504
2013-05-15,4597,2180,3876,500,3846,1258,4252,4121,4722,9453,811,154,91,16,191,395.7674504
2013-06-04,4477,2164,4410,305,3742,1649,4163,6254,4643,13590,825,162,99,10,121,369.2615341
2013-06-18,4589,2112,4315,293,3925,1770,4283,6220,4668,12515,831,179,99,10,121,369.2615341
2013-07-02,4644,3175,4609,370,3707,2919,4440,9537,4756,21569,844,182,109,12,146,371.6367346
2013-07-16,4741,3625,4825,380,3693,2929,4565,10112,5057,19600,849,178,107,13,156,371.6367346
2013-08-06,4612,4556,4641,486,3499,2572,4451,11745,5021,39102,855,199,132,10,120,376.2363877
2013-08-20,4931,4167,4688,400,3614,2493,4425,11181,5123,35925,866,184,112,14,167,376.2363877
2013-09-03,5109,3911,4566,453,3709,2291,4420,11939,5058,32230,873,199,126,10,121,379.4176803
2013-09-17,4939,4226,4805,300,3910,2517,4329,10899,5095,26156,877,178,131,13,155,379.4176803
2013-10-01,5061,3986,4695,435,3915,2943,4491,10836,5208,24547,886,195,114,13,156,382.5859613
2013-10-15,5007,3851,4680,331,3779,3614,4540,9843,5058,23347,888,170,114,14,168,382.5859613
2013-11-05,5343,3296,4523,461,3528,3533,4559,10653,4891,28885,820,199,129,12,145,377.4332592
2013-11-19,5255,3425,4753,300,3582,3634,4582,10185,4869,32388,826,206,147,12,143,377.4332592
2013-12-03,5395,3388,4630,375,3750,3188,4790,8219,5035,34485,831,207,127,16,192,388.7348785
2013-12-17,5667,3320,5070,150,4050,3132,4868,9058,4958,30050,823,202,133,15,179,388.7348785
2014-01-07,5538,46418,4539,46418,4223,46418,4688,46418,4934,46418,828,208,152,12,145,396.4611816
2014-01-21,5641,41024,5244,41024,4657,41024,4698,41024,4943,41024,833,193,134,12,129,396.4611816
2014-02-04,5569,35399,4775,35399,4745,35399,4746,35399,5005,35399,788,185,124,12,129,402.1747024
2014-02-18,5314,34568,5355,34568,4586,34568,4780,34568,4999,34568,793,191,130,9,96,402.1747024
2014-03-04,5126,41086,4792,41086,4746,41086,4658,41086,4703,41086,796,189,139,11,118,387.9001415
2014-03-18,4578,39008,5253,39008,4534,39008,4584,39008,4439,39008,747,187,142,10,108,387.9001415
2014-04-01,4062,39653,4211,39653,4040,39653,4126,39653,4033,39653,756,201,167,11,118,352.256577
2014-04-15,4086,36549,4075,36549,3832,36549,3969,36549,3990,36549,764,199,148,12,128,352.256577
2014-05-06,4170,38174,3713,38174,3892,38174,3873,38174,3928,38174,724,207,138,13,139,336.4877718
2014-05-20,4255,33677,3950,33677,3667,33677,3733,33677,3877,33677,734,193,139,14,150,336.4877718
2014-06-03,4058,37012,3628,37012,3634,37012,3863,37012,3594,37012,738,195,144,13,139,328.588916
2014-06-17,3898,31984,4535,31984,3699,31984,3855,31984,3658,31984,690,193,124,15,161,328.588916
2014-07-01,3606,41513,4135,41513,3181,41513,3810,41513,3459,41513,702,184,149,12,129,302.5675893
2014-07-15,3250,36656,4426,36656,3144,36656,3516,36656,3088,36656,663,177,144,13,141,302.5675893
2014-08-05,3457,48380,3852,48380,2800,48380,3264,48380,2725,48380,668,178,153,11,118,266.918597
2014-08-19,3566,46387,3886,46387,2940,46387,2874,46387,2804,46387,650,181,141,13,141,266.918597
2014-09-02,3360,57010,3174,57010,2753,57010,2600,57010,2673,57010,660,184,158,10,106,250.7501699
2014-09-16,3264,50801,3140,50801,2698,50801,2619,50801,2692,50801,642,191,152,11,117,250.7501699
2014-10-01,3117,55057,2723,55057,2514,55057,2540,55057,2443,55057,657,167,145,13,140,250.6446446
2014-10-15,3346,50816,2685,50816,2614,50816,2462,50816,2503,50816,668,167,132,14,151,250.6446446
2014-11-04,3292,45499,2426,45499,2505,45499,2457,45499,2522,45499,672,165,139,12,133,239.5568232
2014-11-18,3490,39613,2511,39613,2656,39613,2299,39613,2400,39613,676,173,134,13,140,239.5568232
2014-12-02,3817,39273,2560,39273,2849,39273,2423,39273,2229,39273,689,177,128,11,117,224.4108219
2014-12-16,4200,35390,2466,35390,3145,35390,2320,35390,2270,35390,667,176,126,14,155,224.4108219
2015-01-06,4493,33669,2736,33669,3558,33669,2386,33669,2307,33669,671,173,121,14,150,226.6862861
2015-01-20,4286,31326,2559,31326,3564,31326,2389,31326,2402,31326,677,169,113,12,129,226.6862861
2015-02-03,4067,28000,2436,28000,3783,28000,2598,28000,2874,28000,688,169,111,16,173,253.7427555
2015-02-17,4314,22957,2674,22957,3823,22957,2744,22957,3272,22957,694,167,97,14,137,253.7427555
2015-03-03,4237,22094,2681,22094,3912,22094,2935,22094,3241,22094,703,160,107,14,136,276.9795393
2015-03-17,3877,20258,2635,20258,3555,20258,2731,20258,2928,20258,667,134,110,12,122,276.9795393
2015-04-01,3663,23162,2130,23162,3259,23162,2467,23162,2538,23162,669,127,96,11,106,234.9592442
2015-04-15,3744,25596,2208,25596,3026,25596,2253,25596,2446,25596,673,154,108,11,107,234.9592442
2015-05-05,3505,27369,1748,27369,3005,27369,2048,27369,2386,27369,685,144,117,13,127,215.4871796
2015-05-19,3337,26535,1930,26535,2911,26535,1992,26535,2390,26535,687,162,128,14,137,215.4871796
2015-06-02,3112,27711,1795,27711,2619,27711,1982,27711,2309,27711,642,148,115,12,117,206.0980263
2015-06-16,2814,24047,1975,24047,2707,24047,1978,24047,2327,24047,649,156,125,12,117,206.0980263
