,EventDate,Date,"World Price, US$, and SDRs",New Zealand dollar,AveragePublishedPrice,ChangeInPriceIndex,EventDuration,MaxSupply,MinSupply,ParticipatingBidders,QualifiedBidders,QuantitySold,TotalRounds,TwelveMonthQtySold,WinningBidders,EventMonth
40,08/17/15,Aug-15,165.9769589,136.1385879,1974,14.8,166,37400,35275,177,621,36904,17,910034,136,8
41,08/31/15,Aug-15,165.9769589,136.1385879,2226,10.9,157,36515,34395,166,635,35865,16,904068,116,8
42,09/14/15,Sep-15,191.0202164,161.4654177,2568,16.5,182,36515,34515,186,639,36050,18,891103,121,9
43,10/05/15,Oct-15,225.2898405,180.5258085,2834,9.9,157,35690,33760,180,635,35243,17,850806,119,10
44,10/19/15,Oct-15,225.2898405,180.5258085,2735,-3.1,112,35215,33375,163,639,34519,12,845841,127,10
45,11/02/15,Nov-15,204.1341388,166.1641055,2569,-7.4,92,35390,33525,151,643,33997,10,892368,132,11
46,11/16/15,Nov-15,204.1341388,166.1641055,2345,-7.9,115,31425,29690,141,609,30044,13,880892,117,11
47,11/30/15,Nov-15,204.1341388,166.1641055,2419,3.6,132,29763,28018,161,613,28158,15,870370,121,11
48,12/14/15,Dec-15,196.8904883,156.8112682,2458,1.9,99,25595,23965,161,613,24888,10,849410,112,12
49,01/04/16,Jan-16,188.3727913,153.6333173,2458,-1.6,114,26174,24470,166,616,25671,12,778795,127,1
50,01/18/16,Jan-16,188.3727913,153.6333173,2405,-1.4,107,23265,21650,156,616,21930,11,762498,115,1
51,02/01/16,Feb-16,183.640432,148.7144647,2276,-7.4,100,26305,23535,144,619,24474,11,796495,124,2
52,02/15/16,Feb-16,183.640432,148.7144647,2235,-2.8,118,24200,21665,151,604,22021,14,781040,115,2
53,02/29/16,Feb-16,183.640432,148.7144647,2253,1.4,131,24520,22125,160,607,21880,14,769585,122,2
54,03/14/16,Mar-16,175.4632272,139.7277073,2190,-2.9,117,22365,20031,134,606,20406,13,755200,118,3
55,04/04/16,Apr-16,172.7364281,134.3041538,2188,2.1,135,24682,21912,163,615,22682,15,745481,119,4
56,04/18/16,Apr-16,172.7364281,134.3041538,2263,3.8,118,22569,19904,163,617,21206,13,733742,114,4
57,05/02/16,May-16,172.5435081,135.9076762,2203,-1.4,106,21530,19250,147,620,20615,12,726890,118,5
