AveragePublishedPrice,PriceIndexPercentageChange,ProductGroup12MSalesSplit,ProductGroupCode,ProductGroupGUID,ProductGroupName,ProductSold,SupplyOffered,TwelveMonthQtySold,key
,,,SWP,,Sweet Whey Powder,FALSE,FALSE,,0ab01ea3-e725-4bd1-8156-f1c35d0aacbb
2210,-4.4,54,WMP,b70d21e5-cb62-48e5-8917-cd0899d26ea8,Wholemilk Powders,TRUE,TRUE,420207,0ab01ea3-e725-4bd1-8156-f1c35d0aacbb
4954,-1,11.5,AMF,e8be9dda-dae6-45ae-bea7-e3ca44c02c59,Anhydrous Milkfat,TRUE,TRUE,77658,0cc995bc-57b5-4fc6-b361-d35db4ab1fa2
3891,-0.3,8,Butter,0cd4302a-9321-4d18-9f42-df492b160359,Butter,TRUE,TRUE,53711,0cc995bc-57b5-4fc6-b361-d35db4ab1fa2
2408,9.3,1.3,BMP,b3cba6bf-8dc8-40e7-9f11-7bc6aac2af86,Buttermilk Powders,TRUE,TRUE,8625,0cc995bc-57b5-4fc6-b361-d35db4ab1fa2
3430,-2.3,3.8,Ched,93b83020-8629-4419-bb91-df05e14db813,Cheddar Cheese,TRUE,TRUE,25654,0cc995bc-57b5-4fc6-b361-d35db4ab1fa2
744,-9.7,1.3,LAC,1abd88b8-f40d-4598-bb16-8fb7fb3c60c3,Lactose,TRUE,TRUE,8445,0cc995bc-57b5-4fc6-b361-d35db4ab1fa2
,,,MPC70,,Milk Protein Concentrate 70,FALSE,FALSE,,0cc995bc-57b5-4fc6-b361-d35db4ab1fa2
6574,-3.7,1.7,RenCas,4a4e7e6d-eaad-49fc-b1e4-8939fd770cf9,Rennet Casein,TRUE,TRUE,11576,0cc995bc-57b5-4fc6-b361-d35db4ab1fa2
2209,-3.9,23.8,SMP,b40e8b4b-f309-4ac0-a818-9381711d84a8,Skimmilk Powders,TRUE,TRUE,159891,0cc995bc-57b5-4fc6-b361-d35db4ab1fa2
,,,SWP,,Sweet Whey Powder,FALSE,FALSE,,0cc995bc-57b5-4fc6-b361-d35db4ab1fa2
2681,-3.8,48.6,WMP,4604fdee-813b-4497-8645-44a49489cdaa,Wholemilk Powders,TRUE,TRUE,326959,0cc995bc-57b5-4fc6-b361-d35db4ab1fa2
6569,-1.2,11,AMF,8cbe5335-ca3a-459d-a5cd-fd5e4bd865b1,Anhydrous Milkfat,TRUE,TRUE,69173,121e4b0b-c3bc-4b6d-919f-8f46d71dc903
5631,3.3,7.1,Butter,e951d984-2c5e-4852-a67b-f81a5d22bdc8,Butter,TRUE,TRUE,44785,121e4b0b-c3bc-4b6d-919f-8f46d71dc903
2092,5.8,1.4,BMP,2223c642-2c95-4f78-9e9c-9c65f6d39d63,Buttermilk Powders,TRUE,TRUE,9014,121e4b0b-c3bc-4b6d-919f-8f46d71dc903
4285,14.5,3.8,Ched,5f93de0b-a544-4eca-b1ac-24e28c4b1e5f,Cheddar Cheese,TRUE,TRUE,23763,121e4b0b-c3bc-4b6d-919f-8f46d71dc903
971,1,1.8,LAC,e7162fb1-2c77-46c8-8d34-4554c6b290af,Lactose,TRUE,TRUE,11204,121e4b0b-c3bc-4b6d-919f-8f46d71dc903
