,EventDate,AveragePublishedPrice,ChangeInPriceIndex,EventDuration,MaxSupply,MinSupply,ParticipatingBidders,QualifiedBidders,QuantitySold,TotalRounds,TwelveMonthQtySold,WinningBidders,EventMonth
25,1/5/15,2709,3.6,150,34300,32535,173,671,33669,14,1035020,121,1
26,1/19/15,2758,1,129,31835,29946,169,677,31326,12,1042575,113,1
27,2/2/15,3042,9.4,173,28705,26927,169,688,28000,16,1088074,111,2
28,2/16/15,3366,10.1,137,23485,22175,167,694,22957,14,1078383,97,2
29,3/2/15,3374,1.1,136,22555,20955,160,703,22094,14,1065359,107,3
30,3/16/15,3136,-8.8,122,20980,19530,134,667,20258,12,1048805,110,3
31,3/31/15,2746,-10.8,106,24010,22580,127,669,23162,11,1000947,96,3
32,4/14/15,2620,-3.6,107,25835,24290,154,673,25596,11,988198,108,4
33,5/4/15,2515,-3.5,127,27910,26505,144,685,27369,13,1006500,117,5
34,5/18/15,2472,-2.2,137,27245,25645,162,687,26535,14,994058,128,5
35,6/1/15,2412,-4.3,117,28455,26740,148,642,27711,12,981584,115,6
36,6/15/15,2409,-1.3,117,24445,22770,156,649,24047,12,960756,125,6
37,6/30/15,2276,-5.9,106,33595,31570,158,652,33200,11,944910,140,6
38,7/14/15,2082,-10.7,96,33095,31105,135,628,31691,10,930853,130,7
39,8/3/15,1815,-9.3,117,48515,46245,152,637,46527,12,921673,142,8
40,8/17/15,1974,14.8,166,37400,35275,177,621,36904,17,910034,136,8
41,8/31/15,2226,10.9,157,36515,34395,166,635,35865,16,904068,116,8
42,9/14/15,2568,16.5,182,36515,34515,186,639,36050,18,891103,121,9
43,10/5/15,2834,9.9,157,35690,33760,180,635,35243,17,850806,119,10
44,10/19/15,2735,-3.1,112,35215,33375,163,639,34519,12,845841,127,10
45,11/2/15,2569,-7.4,92,35390,33525,151,643,33997,10,892368,132,11
46,11/16/15,2345,-7.9,115,31425,29690,141,609,30044,13,880892,117,11
47,11/30/15,2419,3.6,132,29763,28018,161,613,28158,15,870370,121,11
48,12/14/15,2458,1.9,99,25595,23965,161,613,24888,10,849410,112,12
49,1/4/16,2458,-1.6,114,26174,24470,166,616,25671,12,778795,127,1
50,1/18/16,2405,-1.4,107,23265,21650,156,616,21930,11,762498,115,1
51,2/1/16,2276,-7.4,100,26305,23535,144,619,24474,11,796495,124,2
52,2/15/16,2235,-2.8,118,24200,21665,151,604,22021,14,781040,115,2
53,2/29/16,2253,1.4,131,24520,22125,160,607,21880,14,769585,122,2
54,3/14/16,2190,-2.9,117,22365,20031,134,606,20406,13,755200,118,3
55,4/4/16,2188,2.1,135,24682,21912,163,615,22682,15,745481,119,4
56,4/18/16,2263,3.8,118,22569,19904,163,617,21206,13,733742,114,4
57,5/2/16,2203,-1.4,106,21530,19250,147,620,20615,12,726890,118,5
58,5/16/16,2283,2.6,120,18925,16735,155,623,18113,14,720911,111,5
59,5/31/16,2329,3.4,151,25217,21680,161,614,24046,18,719834,108,5
60,6/14/16,2339,0,117,24680,21181,168,601,23089,13,718146,114,6
61,7/4/16,2345,-0.4,136,35240,30614,164,602,32500,15,697408,133,7
62,7/18/16,2336,0,120,33620,29195,168,603,31348,13,693018,133,7
63,8/1/16,2436,6.6,118,37290,31725,180,605,34928,12,713633,138,8
64,8/15/16,2731,12.7,156,40765,35085,177,606,37766,17,704377,119,8
65,9/5/16,2920,7.7,129,39705,34200,199,613,36748,14,674177,131,9
66,9/19/16,2975,1.7,115,37435,32270,175,616,35086,13,673219,129,9
67,10/3/16,2880,-3,111,35760,30775,166,617,33937,13,672519,125,10
68,10/17/16,2965,1.4,92,33080,28550,164,620,31525,10,672176,115,10
69,10/31/16,3327,11.4,143,29305,24725,166,510,27735,17,707104,107,10
70,11/14/16,3519,4.5,141,25980,21815,164,510,23902,18,698343,106,11
71,12/5/16,3622,3.5,117,24570,20520,159,516,22472,13,662322,109,12
72,12/19/16,3656,-0.5,112,23760,19875,168,520,22321,13,661358,123,12
73,1/2/17,3463,-3.9,117,23825,19930,151,523,22396,13,695295,120,1
74,1/16/17,3517,0.6,93,23325,19555,178,526,22030,10,691577,113,1
75,2/6/17,3537,1.3,106,22735,19065,172,530,21273,12,650796,104,2
76,2/20/17,3474,-3.2,97,22205,18795,149,530,20479,12,644654,114,2
77,3/6/17,3512,-6.3,89,24025,20440,134,530,22328,10,638968,113,3
78,3/20/17,3101,1.7,109,24423,20933,154,533,22498,12,636401,113,3
79,4/3/17,3005,1.6,111,24960,21330,157,537,22642,13,658797,118,4
80,4/17/17,3139,3.1,125,24435,20890,173,541,22927,14,655156,130,4
81,5/1/17,3166,3.6,139,24328,20380,163,548,22633,15,633226,106,5
