Product Type,Date of Event,Average Price (USD/MT),Change in Price Index from Previous Event,CP1 Price,CP2 Price,CP3 Price,CP4 Price,CP5 Price,CP6 Price,Total Sold Quantity
BUT,12-May-09,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,12-May-09,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
WMP,2-Jun-09,1886.169534,-0.1176,2002.339474,1894.328467,1814.133835,n.a.,n.a.,n.a.,17554
SMP,2-Jun-09,n.a.,0.00625,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
AMF,2-Jun-09,n.a.,0.023856859,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BUT,2-Jun-09,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,2-Jun-09,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
WMP,1-Jul-09,1828.775789,-0.0295,1841.278,1805.8125,1848.975,n.a.,n.a.,n.a.,19000
SMP,1-Jul-09,n.a.,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
AMF,1-Jul-09,n.a.,0.009708738,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BUT,1-Jul-09,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,1-Jul-09,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
WMP,4-Aug-09,2301.167264,0.2428,2304.516686,2306.579015,2291.100563,n.a.,n.a.,n.a.,20094
SMP,4-Aug-09,n.a.,0.031055901,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
AMF,4-Aug-09,n.a.,0.040384615,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BUT,4-Aug-09,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,4-Aug-09,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
WMP,1-Sep-09,2858.292648,0.2388,2872.468333,2846.783099,2861.300578,n.a.,n.a.,n.a.,20851
SMP,1-Sep-09,n.a.,0.129518072,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
AMF,1-Sep-09,n.a.,0.07948244,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BUT,1-Sep-09,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,1-Sep-09,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
WMP,6-Oct-09,3022.045799,0.0623,3019.069734,3008.201804,3051.879586,n.a.,n.a.,n.a.,24411
SMP,6-Oct-09,n.a.,0.155555556,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
AMF,6-Oct-09,n.a.,0.200913242,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BUT,6-Oct-09,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,6-Oct-09,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
WMP,3-Nov-09,3436.593734,0.1361,3352.345118,3393.225,3684.04,n.a.,n.a.,n.a.,25023
SMP,3-Nov-09,n.a.,0.246153846,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
AMF,3-Nov-09,4756.934426,0.177657857,4809.056848,4727.895642,4735,n.a.,n.a.,n.a.,3355
BUT,3-Nov-09,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,3-Nov-09,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
WMP,1-Dec-09,3559.917864,0.0379,3522.500245,3539.902326,3716.061993,n.a.,n.a.,n.a.,24776
SMP,1-Dec-09,n.a.,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
AMF,1-Dec-09,4348.870482,-0.0853,4405.5,4328.178156,4335,n.a.,n.a.,n.a.,3984
BUT,1-Dec-09,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,1-Dec-09,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
WMP,5-Jan-10,3308.847475,-0.073,3281.987179,3254.784091,3522.99375,n.a.,n.a.,n.a.,24750
SMP,5-Jan-10,n.a.,-0.092592593,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
AMF,5-Jan-10,4539.058278,0.0442,4516.869159,4492.528736,4735,n.a.,n.a.,n.a.,3775
BUT,5-Jan-10,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,5-Jan-10,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
WMP,2-Feb-10,3256.035854,-0.0171,3199.594331,3307.513534,3286.63125,n.a.,n.a.,n.a.,21002
SMP,2-Feb-10,n.a.,-0.102040816,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
AMF,2-Feb-10,4182.771291,-0.069,4164.726225,4196.389497,4183,n.a.,n.a.,n.a.,2912
BUT,2-Feb-10,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,2-Feb-10,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
WMP,2-Mar-10,3280.921053,0.0109,3291.1425,3336.843588,3203.74219,n.a.,n.a.,n.a.,22648
SMP,2-Mar-10,2926.954967,0.031818182,2825.427419,3143.281573,2927.380873,n.a.,n.a.,n.a.,7550
AMF,2-Mar-10,3958.750874,-0.0567,4008.055556,3975.689346,3883.846154,n.a.,n.a.,n.a.,2862
BUT,2-Mar-10,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,2-Mar-10,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
WMP,6-Apr-10,3969.222913,0.2198,4091.833616,4060.825,3772.525,n.a.,n.a.,n.a.,16890
SMP,6-Apr-10,3672.299937,0.2484,3847.069328,3963.947368,3421,n.a.,n.a.,n.a.,6348
AMF,6-Apr-10,4826.660496,0.2243,4975.848586,4853.625,4691.083333,n.a.,n.a.,n.a.,2701
BUT,6-Apr-10,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,6-Apr-10,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
WMP,4-May-10,3932.386247,-0.0145,4027.304061,3870.427957,3908.331579,n.a.,n.a.,n.a.,22483
SMP,4-May-10,3611.930769,-0.0143,3681.525,3995.9,3373.55,n.a.,n.a.,n.a.,6500
AMF,4-May-10,5019.550612,0.0456,5572.160356,5039.558824,4784.4375,n.a.,n.a.,n.a.,3349
BUT,4-May-10,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,4-May-10,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
WMP,1-Jun-10,3789.582014,-0.032,4019.376827,3776.078125,3645.90625,n.a.,n.a.,n.a.,21472
SMP,1-Jun-10,3461.530303,-0.0627,3587.631579,3445.815,3407.858333,n.a.,n.a.,n.a.,9900
AMF,1-Jun-10,5323.511722,0.0587,6169.37251,5190.085979,5239.538885,n.a.,n.a.,n.a.,4223
BUT,1-Jun-10,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,1-Jun-10,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
WMP,6-Jul-10,3223.62615,-0.1484,3434.585736,3223.544719,3100.321875,n.a.,n.a.,n.a.,30975
SMP,6-Jul-10,3066.673918,-0.1178,3030.380711,3073.593092,3099.12963,n.a.,n.a.,n.a.,12181
AMF,6-Jul-10,4620.194349,-0.1413,5273.430657,4481.160081,4417.35,n.a.,n.a.,n.a.,5557
BUT,6-Jul-10,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,6-Jul-10,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
WMP,3-Aug-10,2974.215226,-0.0788,2917.491669,2936.326253,3186.223539,n.a.,n.a.,n.a.,34322
SMP,3-Aug-10,2769.630381,-0.0922,2718.976608,2768.779661,2865.47302,n.a.,n.a.,n.a.,14055
AMF,3-Aug-10,4302.288262,-0.0765,4476.7,4252.456576,4251.625,n.a.,n.a.,n.a.,6730
BUT,3-Aug-10,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,3-Aug-10,2905.070423,n.a.,2810,3080,n.a.,n.a.,n.a.,n.a.,1278
WMP,1-Sep-10,3522.458278,0.1886,3624.4,3457.440909,3595.2,n.a.,n.a.,n.a.,18875
SMP,1-Sep-10,3197.387402,0.1582,3131.388462,3215.166667,3355.066667,n.a.,n.a.,n.a.,6350
AMF,1-Sep-10,4681.42623,0.0963,4688.45,4640.75,4946.2,n.a.,n.a.,n.a.,3050
BUT,1-Sep-10,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,1-Sep-10,3198.5,0.1059,3125,3370,n.a.,n.a.,n.a.,n.a.,1000
WMP,15-Sep-10,3601.604737,0.0161,3649.055,3567.546875,3565.891667,n.a.,n.a.,n.a.,19000
SMP,15-Sep-10,3228.519716,0.0086,3163.067308,3204.35,3556.472973,n.a.,n.a.,n.a.,6340
AMF,15-Sep-10,5188.842438,0.1031,5282.827869,5139.986309,5176.25,n.a.,n.a.,n.a.,3002
BUT,15-Sep-10,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,15-Sep-10,2991.5,-0.0647,2960,3065,n.a.,n.a.,n.a.,n.a.,1000
WMP,5-Oct-10,3521.102525,-0.0208,3548.566354,3483.606272,3565.06,n.a.,n.a.,n.a.,22258
SMP,5-Oct-10,3220.795714,-0.0085,3153.04,3209.176667,3356.96,n.a.,n.a.,n.a.,7000
AMF,5-Oct-10,5256.038613,0.0139,5353.79575,5195.25,5274.666667,n.a.,n.a.,n.a.,2797
BUT,5-Oct-10,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,5-Oct-10,3071.971904,0.0287,3000,3265,n.a.,n.a.,n.a.,n.a.,961
WMP,19-Oct-10,3483.990475,-0.011,3485.42975,3469.531818,3541.54,n.a.,n.a.,n.a.,24041
SMP,19-Oct-10,3071.752941,-0.0464,2926.75,3094.185714,3250,n.a.,n.a.,n.a.,8500
AMF,19-Oct-10,5196.463858,-0.0134,5175.485679,5125.633333,5470,n.a.,n.a.,n.a.,2753
BUT,19-Oct-10,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,19-Oct-10,3033.376963,-0.0123,3000,3125,n.a.,n.a.,n.a.,n.a.,955
WMP,2-Nov-10,3495.267001,0.0002,3516.306761,3520.571053,3315.71,n.a.,n.a.,n.a.,21910
SMP,2-Nov-10,3020.916958,-0.0122,2925.139442,2989.018182,3325,n.a.,n.a.,n.a.,6009
AMF,2-Nov-10,5393.887755,0.055,5411.78125,5379.666667,5400,n.a.,n.a.,n.a.,2450
